Recipe ID	Recipe Name	Ingredients	Instructions	Total GHG	Energy (g)
83	Ankake Yakisoba	Water: 400, Other seasoning: 0, Edible oil: 15, Onion: 50, Other alcohol: 30, Salt: 2.5, Other dried food/seaweed: 18, Carrot: 40, Green bean: 40, Dried soup: 7.5, Pork: 100, Dried Mushroom: 45, Chinese cabbage: 150, Chinese noodle: 240	['(1) Cut the pork into 2cm wide pieces. Cut the onions vertically into 1cm wide pieces, then into 4-5cm long and 2cm wide pieces. ', '(2) Cut the carrots into strips and remove the strings from the silk pods. ', '(3) Combine A in a bowl. ', '(4) Heat a frying pan over medium heat, add Chinese noodles, loosen and spread evenly. Divide in half and place each in a bowl. ', '(5) Heat oil in a frying pan, add the pork from (1) and stir-fry. When the meat changes color, add the onions and shiitake mushrooms from (1) and stir-fry. ', '(6) When the onions are soft, add the Chinese cabbage core from (1) and the carrots and silk pods from (2), fry until they are coated with oil, then add (3). ', '(7) When it comes to a boil, add the Chinese cabbage leaves from (1) and boil, season with salt and pepper, boil until thickened, add sesame oil and combine, and add to the noodles from (4). Take a minute. ']	1219.54	520.46
84	Somen Champuru	Other leafy vegetables: 25, Edible oil: 10.5, Salt: 0, Soy sauce: 6, Flavor seasoning: 4.5, Carrot: 58.3333, Pork: 80, Dried udon・Soba: 150	['(1) Cut the pork into 3cm wide pieces. Cut the chives into 3-4cm long pieces, and cut the carrots into 4cm-long pieces. ', '(2) Boil water in a pot, boil the somen noodles until they are firm, and wash with cold water. Place in a colander, drain well, and sprinkle with A. ', '(3) Heat sesame oil in a frying pan, add the pork from (1) and stir-fry. When the meat changes color, add the carrots from (1) and stir-fry. ', '(4) Once cooked, add somen noodles from (2) and chives from (1), and season with B. ', '*Please note that if you don't drain the somen properly, the result will be sticky. ', '*You can also add tuna (canned) to make it delicious. Season the tuna (1 small can) with salt, then lightly drain and loosen the water before adding to the mixture. Mix thoroughly. ']	439.68	462.24
85	Meat Soboro	Water: 45, Other seasoning: 54, Sugar: 18, Edible oil: 4, Other root vegetables: 10, Soy sauce: 54, Pork: 300	['(1) Heat oil in a pan, add ginger and minced meat, and stir-fry over medium heat. ', '(2) When the minced meat is cooked, use a whisk to break up any lumps, and when it becomes crumbly, add A and boil over low heat until a little liquid remains. ']	1906.59	303.57
86	Pork Soup	Water: 600, Edible oil: 6, Burdock: 60, Flavor seasoning: 2, Green onion: 0, Carrot: 80, Potato: 200, White Radish: 150, Pork: 80, Miso: 45, Konjac: 70	['(1) Cut the pork into 3cm wide pieces. Cut the potatoes into 5-6 mm wide pieces, and cut the daikon radish and carrots into 3-4 mm wide pieces. Cut the burdock root into cubes, soak in water for about 5 minutes, and drain. Cut the string konnyaku into easy-to-eat lengths. ', '(2) Heat oil in a pot over medium heat, stir-fry the pork from (1), add the vegetables from (1), and stir-fry some more. Once everything is coated with oil, add the konnyaku threads from (1) and stir-fry quickly. ', '(3) Add A, bring to a boil, remove scum, cover and simmer for 10 minutes. Add the miso to the tamagoyaki, dissolve it in the broth, and add. ', '(4) Place in a bowl and sprinkle with green onions. ']	272.43	156.93
87	Layered Pot with Pork Belly and Chinese Cabbage	Water: 1200, Other root vegetables: 3, Salt: 2.5, Soy sauce: 36, Flavor seasoning: 18, Green onion: 400, Pork: 300, Chinese cabbage: 1000	['(1) Peel the Chinese cabbage one by one and layer the Chinese cabbage and pork 4 times alternately. Cut it into 5cm wide pieces and spread them along the edge of the pot. Repeat this 3 to 4 times. ', '(2) Sprinkle ``Hondashi'' evenly, add A and heat. Once it boils, cover and simmer. ', '(3) Once cooked, add a mixture of white onions, small onions, and ginger on top. ', '*If the pot is small, it may boil over. Adjust the amount of soup stock according to the size of the pot. ', '*Recommended options for the hotpot are ``shime rice cake,'' ``shime udon,'' and ``shime zosui.'' ']	794.49	344.98
88	Cabbage and Soboro with Tasty Broth	Water: 445, Other seasoning: 27, Sugar: 13.5, Edible oil: 12, Soy sauce: 27, Flavor seasoning: 6, Green onion: 60, Cabbage: 400, Other dried food/seaweed: 13.5, Pork: 200	['(1) Cut the cabbage into 3cm wide wedges, leaving the core intact. Cut the green onions into 5mm cubes. ', '(2) Heat oil in a frying pan and stir-fry the minced meat over medium-high heat until it becomes crumbly. ', '(3) Add A and arrange the cabbage from (1) with the core facing down. Cover and simmer over medium-high heat for about 4 minutes, then remove the cabbage and place in a bowl. ', '(4) Add B and simmer for 1 minute, then lower the heat to low and slowly stir in the water-soluble potato starch from C. When it thickens, add the green onions from (1) and make minced bean paste. ', '(5) Pour the minced red bean paste from (4) onto the cabbage from (3) in a bowl. ', '*You may want to use a toothpick to hold the cabbage in place when cooking to prevent it from falling apart. ']	455.13	201.56
89	Twice-cooked Pork	Other seasoning: 90, Edible oil: 24, Green onion: 40, Cabbage: 300, Pork: 200, Green pepper: 40	['(1) Cut the pork into 5cm wide pieces. Cut the cabbage into bite-sized pieces. Remove seeds from peppers and cut into pieces. Slice the green onion diagonally into 1cm wide pieces. ', '(2) Heat 1 tablespoon of oil in a frying pan, fry half of the cabbage and peppers from (1) over high heat, and transfer to a plate. Fry the remaining half in the same way and set aside on a plate. ', '(3) Heat a frying pan, add the pork and green onions from (1) and stir-fry over medium heat. Once the meat is browned, turn off the heat, add "Cook Do" and stir-fry again over medium heat. , toss well with the pork. Add back the cabbage and peppers from (2) and stir-fry. ']	417.55	279.22
90	Okonomiyaki	Water: 150, Other seasoning: 0, Edible oil: 48, Other root vegetables: 120, Salt: 0, Flavor seasoning: 4.5, Green onion: 100, Cabbage: 300, Other pickled vegetables: 15, Sauce: 108, Pork: 150, Egg: 120, Dried seaweed: 1.6, Other grains: 20, Mayonnaise: 90, Wheat flour: 140, Bonito flakes/shavings: 8	['(1) Cut the pork into 2-3 equal pieces and season with salt and pepper. Coarsely chop the cabbage and cut the green onion into small pieces. ', '(2) Put A into a bowl and mix well, then add the beaten eggs and the grated ones in that order and mix. Furthermore, add the sifted flour and mix with a whisk until smooth. ', '(3) Add the cabbage and green onions from (1) to (2) and mix. ', '(4) Heat 1 tablespoon of ``Kenko Sarala'' in a frying pan, spread a little less than 1/4 of the amount from (3) into a circle 14-15cm in diameter, and sprinkle pickled ginger and 1/4 of the fried egg on top. ', '(5) Place 1/4 of the pork from (1) on top of (4), spread a small amount of (3), and fry over medium heat. ', '(6) Once it's grilled, turn it over, cover it over low heat, and cook until it's cooked through. Bake the remaining 3 pieces in the same way. ', '(7) Place on a plate, spread okonomiyaki sauce and ``salaria'', and sprinkle dried flakes and green seaweed on top. ', '*Local cuisine of Osaka Prefecture']	537.80	668.18
91	Pork and Green Onion Salt Stir-fry	Other seasoning: 0, Edible oil: 12, Other alcohol: 15, Salt: 2.5, Green onion: 100, Pork: 200, Green pepper: 35	['(1) Cut the pork into bite-sized pieces, cut the peppers into small pieces, and cut the green onions diagonally. ', '(2) Heat oil in a frying pan and fry the pork from (1). When the meat changes color, add the bell peppers and green onions from (1) and stir-fry. ', '(3) When the ingredients are cooked, add A and stir-fry. ', '*Adding red bell pepper will make it more colorful. ', '*If you like, you can add a small amount of togarashi, shichimi togarashi, or yuzu pepper to finish. ']	733.25	310.24
92	Pork Mayo Ginger	Other seasoning: 36, Onion: 100, Other root vegetables: 6, Other alcohol: 15, Soy sauce: 12, Cabbage: 50, Pork: 150, Mayonnaise: 15, Tomato: 30	['(1) Cut the pork into strips. Cut the onion into 5mm wide pieces. ', '(2) Mix ``Kokuuma'', grated ginger, and A in a bowl, mix well with the pork and onions from (1), and leave for 30 minutes (outside of the time). ', '(3) Divide (2) into pork, onions, and pickling liquid. ', '(4) Add the pork and onions from (3) to a frying pan and stir-fry. To finish, add the pickling liquid from (3), bring to a boil, and stir. ', '(5) Place the cabbage, pork and onions from (4) in a bowl, and add cherry tomatoes. ']	569.46	286.52
93	Goya Champuru	Other seasoning: 0, Edible oil: 18, Salt: 0, Soy sauce: 6, Flavor seasoning: 1.5, Tofu: 150, Pork: 100, Egg: 60, Other vegetables: 250	['(1) Cut the bitter gourd in half lengthwise, scoop out the seeds with a spoon, cut into thin slices, sprinkle with a little salt (not listed), and let stand for about 5 minutes. Wash and drain. ', '(2) Tear the tofu into 2cm cubes and drain in a colander. Beat the eggs. Cut the pork into 3cm wide pieces and sprinkle with salt and pepper. ', '(3) Heat 1/2 tablespoon of oil in a frying pan, arrange the tofu from (2), fry both sides, and then remove. ', '(4) Heat 1 tablespoon of oil in a frying pan, stir-fry the pork from (2) and the bitter gourd from (1) in that order, sprinkle with ``Hondashi'', cover, and steam-fry over low heat for about 2 minutes. ', '(5) Remove the lid, add the tofu from (3) back in, sprinkle with the beaten egg from (2) and 1 teaspoon of soy sauce, and stir-fry. ']	304.27	154.77
94	Basic Katsudon with Pork Loin	Rice: 254.545, Water: 200, Other seasoning: 36, Sugar: 3, Edible oil: 0, Onion: 100, Salt: 0, Soy sauce: 36, Flavor seasoning: 1.5, Pork: 600, Egg: 240, Other grains: 0, Other vegetables: 100, Wheat flour: 0	['(1) Cut the pork into strips, sprinkle with salt and pepper, dip in flour, beaten egg, and bread crumbs in order. Deep fry in oil at 170°C for 4 to 5 minutes, drain the oil, and cut into 1 to 2 cm wide pieces. Cut. ', '(2) Slice the onions thinly, place in a heat-resistant dish, cover with plastic wrap, and heat in the microwave (600W) for 1 minute until soft. Beat the eggs and cut the mitsuba into 2cm lengths. ', ' (3) Combine ingredients A in a frying pan and bring to a boil. Arrange onions from (2) and pork cutlets from (1) and simmer over medium heat for 1 to 2 minutes. ', '(4) Sprinkle the beaten egg from (2) on top and simmer over low heat until half-cooked. Sprinkle the spittle from (2) on top. Turn off the heat, cover, and steam for 1 to 2 minutes. ', '(5) Pour rice into a bowl and place 1/4 of (4) on top. ']	1222.95	978.57
95	Pork with Grated Daikon Sauce	Other seasoning: 0, Sugar: 3, Other alcohol: 45, Salt: 0, Soy sauce: 36, Flavor seasoning: 1.5, White Radish: 150, Pork: 400, Bean sprout: 200, Green pepper: 70	['(1) Cut the pork into 7cm wide pieces and season with A. Grate the daikon radish, put it in a colander, and lightly drain the water. Remove the seeds from the peppers and cut them into thin strips. ', '(2) Heat 1 tablespoon of oil in a frying pan, fry the bell peppers and bean sprouts from (1) in that order, and season with salt and pepper. ', '(3) Heat 1 tablespoon of oil in a frying pan, fry the pork from (1), and serve in a bowl with the peppers and bean sprouts from (2). ', '(4) Add the ``Hondashi'', B, and the grated daikon radish from (1) to the frying pan from (3) and bring to a boil, then pour over the pork from (3). ']	691.09	279.57
96	Stir-fry with Pork and Plenty of Bean Sprouts	Other seasoning: 5, Other leafy vegetables: 100, Edible oil: 30, Other root vegetables: 10, Pork: 200, Bean sprout: 250	['(1) Place the sprouts in a heat-resistant bowl, sprinkle with sesame oil, cover with plastic wrap, and heat in the microwave (600W) for 2 minutes. Cut the chives into 4cm lengths. ', '(2) Heat oil in a frying pan over medium heat and fry the garlic. When the aroma comes out, loosen the pork and add it. When the color of the meat changes, add the Chinese horse mackerel. ', '(3) Add the bean sprouts from (1) and stir-fry. Add the chives from (1) and stir-fry quickly. Season with pepper. ']	400.20	191.78
97	Spicy Chinese Stir-fry of Pork and Pumpkin	Water: 66.6667, Other seasoning: 5, Sugar: 1.5, Edible oil: 24, Other root vegetables: 10, Other alcohol: 5, Soy sauce: 3, Green onion: 13.75, Other dried food/seaweed: 6, Dried soup: 2.5, Pork: 150, Pumpkin: 150	['(1) Cut the pork into 4cm wide pieces and sprinkle with A. Cut the pumpkin into 5mm thick and 5cm wide pieces. Thinly slice the garlic and cut the small onion into 4cm lengths. Mix B. ', '(2) Heat 1 tablespoon of oil in a frying pan, add the pumpkins from (1) so that they are not overlapped, and fry until both sides are browned. Once it's cooked, take it out. ', '(3) Add 1 tablespoon of oil to a frying pan and stir-fry the pork from (1). When the color changes, add the garlic and aged bean sauce from (1) and stir-fry. ', '(4) When the aroma comes out, add the pumpkin from B and (2) and fry until the water evaporates, then add the small onions from (1) and mix quickly. ']	606.13	337.29
98	Eggplant and Bell Pepper Meat Miso Stir-fry	Sugar: 9, Edible oil: 12, Other alcohol: 15, Flavor seasoning: 1.5, Pork: 150, Eggplant: 400, Green pepper: 105, Miso: 36	['(1) Cut off the stems from the eggplants, and cut them into bite-sized pieces by inserting a knife diagonally into them while turning them. Cut the peppers in half lengthwise, remove the stems and seeds, and cut into bite-sized pieces. ', '(2) Heat the oil in a frying pan, add the minced meat and stir-fry. When the meat is cooked, add the eggplant from (1) and stir-fry for 1 to 2 minutes. When the eggplant becomes soft, add the green pepper from (1) and stir-fry quickly, then sprinkle in the ``Hondashi'' and mix. Reduce heat to low, cover, and simmer for 3 to 4 minutes. ', '(3) Add mixed A and stir quickly over medium heat. ']	435.39	157.14
99	Tonkatsu	Other seasoning: 0, Edible oil: 0, Other citrus fruits: 60, Salt: 0, Cabbage: 150, Carrot: 40, Sauce: 0, Pork: 300, Egg: 60, Other grains: 0, Wheat flour: 0	['(1) Cut the cabbage in half vertically, stack them, and then cut into thin strips. ', '(2) Slice the carrots vertically into thin slices, stack several slices on top of each other, and cut into thin strips. Add the cabbage to a bowl of water. Leave for about 5 minutes and drain in a colander. ', '(3) Cut the pork by making 4 to 5 incisions with the tip of the knife at the boundary between lean meat and fat. ', '(4) Sprinkle ``Aji-no-moto'', salt, and pepper on both sides (using ``Aji-no-moto'' as a seasoning brings out the flavor of the meat). ', '(5) Beat the eggs in a vat. Lightly dust the pork with flour, shaking off any excess flour. ', '(6) Coat with beaten egg and bread crumbs in that order. ', '(7) Heat oil to medium temperature (170-180 degrees), add (6) and fry for about 3 minutes, turning with chopsticks. Increase the heat to high and fry for another minute, then remove and drain the oil. ', '(8) Cut into bite-sized pieces, place in a bowl, and pour tonkatsu sauce over. Top with cabbage and carrots and garnish with lemon. ']	1028.01	712.83
100	Meat and Potato Stew with Dashi Fragrance	Water: 400, Sugar: 22.5, Edible oil: 4, Onion: 200, Other alcohol: 30, Soy sauce: 48, Flavor seasoning: 3, Green onion: 60, Potato: 500, Pork: 200, Konjac: 100	['(1) Peel the potatoes, cut them into pieces, and soak them in water. Cut the onion into 2cm wide wedges, and thinly slice the onion diagonally. Boil the shirataki in boiling water and cut into chunks. Cut the pork into bite-sized pieces. ', '(2) Heat oil in a pot, fry the potatoes from (1) until the surface becomes transparent, then add A and bring to a boil. Spread the pork from (1) and remove the scum. ', '(3) Add the onions, shirataki mushrooms, and B from (1), bring to a boil, then reduce heat to low, cover, and simmer for 5 minutes. Add the soy sauce and simmer for 15 minutes, then add the wakegi from (1) and cook quickly. ']	515.34	218.67
101	Eggplant and Pork Stir-fry with Bean Paste Sauce	Water: 65, Other seasoning: 10, Sugar: 6, Edible oil: 12, Other root vegetables: 10, Soy sauce: 6, Other dried food/seaweed: 3, Dried soup: 5, Pork: 150, Eggplant: 240, Green pepper: 105	['(1) Divide the pork into three equal parts. Cut the eggplant into 12 wedges, and cut the bell pepper into 2cm wide pieces. Mix "Whole Chicken Soup" and A in a bowl to make a seasoning mixture. ', '(2) Heat oil, garlic, and ``Aged Bean Sauce'' in a frying pan, and stir-fry the pork from (1) until fragrant. When the meat changes color, add the eggplant and green pepper from (1) and stir-fry until tender. ', ' Add the seasonings from (3) and (1), bring to a boil, then thicken with the water-soluble potato starch from B. ']	780.84	295.19
102	Grilled Gyoza	Water: 0, Other seasoning: 0, Edible oil: 3, Other root vegetables: 4.5, Other alcohol: 5, Salt: 2.5, Soy sauce: 6, Green onion: 50, Cabbage: 300, Dried soup: 7.5, Pork: 150, Other grains: 256	['(1) Roughly chop the cabbage, sprinkle with salt, and leave until tender. ', '(2) Put ground pork and A in a bowl and mix. When it becomes sticky, add "Whole chicken soup" and B, mix again, C. Add the well-squeezed cabbage from (1). Mix well. ', '(3) Divide the ingredients from (2) into 32 equal parts and wrap them in gyoza wrappers. ', '(4) Heat 1 tablespoon of oil in a frying pan, arrange half of the gyoza from (3), and when browned, add 1/2 cup of water, cover, and steam-fry over medium heat. ', '(5) Once the water has evaporated, turn up the heat to high, add 1 teaspoon of oil, and take it out when it becomes crispy. Bake the rest in the same way. ', '*'Soup Gyoza' is also recommended. \u3000Place the boiled dumplings in the simmering soup and sprinkle with chopped green onions. ']	726.40	280.66
103	Meatball Soup	Water: 600, Other seasoning: 0, Other root vegetables: 5, Salt: 0, Soy sauce: 6, Cabbage: 100, Other dried food/seaweed: 3, Carrot: 21.875, Dried soup: 7.5, Pork: 150, Dried Mushroom: 20	['(1) Put A into a bowl, add 1 teaspoon of ``Whole Chicken Soup'' and knead well until it becomes sticky. Add 2 tablespoons of water and potato starch in that order, mix again, and divide into 12 equal parts and form into balls. ', '(2) Cut the cabbage into 3cm cubes, cut the shiitake mushrooms in half and then thinly slice them, and cut the carrots into thin strips. ', '(3) Add 3 cups of water and 1 tablespoon of "Whole Chicken Soup" to a pot, bring to a boil, add the meatballs from (1), and when the meat changes color, add the vegetables and ginger from (2). and simmer for 5 minutes over medium heat. ', '(4) Adjust the taste with soy sauce, salt, and pepper. ']	389.82	89.80
104	Stir-fry of Pork, Potatoes, and Bell Pepper	Other seasoning: 10, Edible oil: 9, Other alcohol: 20, Green onion: 100, Potato: 200, Pork: 150, Green pepper: 120	['(1) Cut the pork into 1cm wide pieces and rub in the sake. Cut the potatoes into 5mm square sticks, and cut the peppers into 5mm wide pieces. Slice the green onion diagonally into 5mm width. ', '(2) Heat sesame oil in a frying pan and stir-fry the pork from (1). When the color changes, add the potatoes from (1) and stir-fry. ', '(3) When the edges become transparent, add the bell peppers and green onions from (1) and stir-fry. When they soften, add sake, ``Chuka Aji'' and pepper to season. ']	769.43	306.19
105	Pork Minced Meat and Cabbage Sesame Fried Rice	Rice: 136.364, Other seasoning: 5, Edible oil: 18, Soy sauce: 3, Green onion: 50, Cabbage: 100, Other dried food/seaweed: 18, Pork: 150, Egg: 120	['(1) Cut the cabbage into 1.5cm cubes. Beat the eggs. ', '(2) Heat 1 tablespoon of sesame oil in a frying pan, pour in the beaten egg from (1), make a soft-boiled egg, and transfer to a plate. ', '(3) Add 1 tablespoon of sesame oil to a frying pan, stir-fry the minced meat, sprinkle with soy sauce, stir-fry the green onions, and the cabbage from (1) in that order. ', '(4) When it becomes soft, add the rice and loosen it, then add the hard-boiled egg from (2) back in and fry until it becomes soft. Season with ``Chinese Aji'', add sesame seeds and mix. ']	909.73	613.16
106	Tofu and Minced Meat Stir-fry	Other seasoning: 0.8, Edible oil: 12, Other root vegetables: 15, Salt: 0, Soy sauce: 27, Green onion: 27.5, Tofu: 300, Pork: 150, Bonito flakes/shavings: 2	['(1) Wrap the tofu in kitchen paper, heat in the microwave (600W) for 2 to 3 minutes, and drain. Cut the onion into 3-4cm lengths. ', '(2) Heat oil in a frying pan, add ginger, add minced meat, stir-fry until loosened, and sprinkle with ``Ajinomoto?'' (4 sprinkles). ', '(3) When the tofu from (1) is cooked, add it while tearing it up, and when it's browned add "Ajinomoto?" stir fry. ', '(4) Place in a bowl and sprinkle with bonito flakes. ', '*If using a 30g bottle of Ajinomoto?, double the amount. ']	298.04	169.43
107	Pork, Shimeji Mushroom, and Komatsuna in Oyster Sauce Stir-fry	Other seasoning: 0, Other leafy vegetables: 150, Edible oil: 3, Other alcohol: 15, Salt: 0, Other dried food/seaweed: 4.5, Dried soup: 0.833333, Sauce: 18, Pork: 200, Mushroom: 100	['(1) Rub A into the pork. Divide the shimeji mushrooms into florets, and cut the komatsuna into 4cm lengths. ', '(2) Heat sesame oil in a frying pan and fry the pork from (1) while loosening it. ', '(3) When the color of the meat changes, add the shimeji mushrooms and komatsuna from (1) and season with B. Once the komatsuna has softened, turn off the heat. ']	901.24	256.22
108	Handmade Roast Pork	Water: 200, Sugar: 9, Edible oil: 12, Other root vegetables: 12, Other alcohol: 100, Soy sauce: 81, Flavor seasoning: 3, Green onion: 100, Pork: 500	['(1) Pierce the pork in several places with a metal skewer or fork, tie it with kite string, and shape it. Cut the green onions into 10cm lengths and cut them in half lengthwise. ', '(2) Place the pork, green onions, and A from (1) in a sealed bag, place in the refrigerator, turn occasionally, and marinate overnight (outside of business hours). ', '(3) Heat the oil in a frying pan, drain the pork from (2) well, and add it, turning it until browned. ', '(4) Transfer to a pot, add the pickling liquid from (2), pour water and heat. When it comes to a boil, remove the scum, cover, and simmer for about an hour, turning the meat occasionally. Remove the lid and add the juices to the meat. ', '*Handmade grilled pork can be thinly sliced and used in a variety of ways, including sandwiches and stir-fried vegetables, and shredded into salads, fried rice, and chilled Chinese dishes. ', '*After cooling, it can be stored in the refrigerator for 5 to 6 days. ']	899.16	376.89
109	Chicken and Cabbage Consommé Garlic Butter Stir-fry	Other seasoning: 0, Butter: 10, Other root vegetables: 10, Flavor seasoning: 5.3, Cabbage: 100, Other dried food/seaweed: 4.5, Mushroom: 100, Chicken: 250	['(1) Cut the chicken into bite-sized pieces and sprinkle with potato starch. Cut the cabbage into chunks, and separate the shimeji mushrooms into florets. Garlic is finely chopped. ', '(2) Put the butter in a frying pan and heat it. When the aroma comes out, add the chicken from (1) and stir-fry. ', '(3) When the meat is browned and cooked through, add the garlic, shimeji mushrooms, and cabbage from (1) and stir-fry. Add the consommé and black pepper, stir-fry everything, and adjust the taste. ']	692.06	309.20
110	Chicken Ball Soup with Flaky Carrot Vegetables	Water: 300, Other seasoning: 0, Salt: 0, Flavor seasoning: 5.3, Cabbage: 100, Carrot: 87.5, Chicken: 150	['(1) Mix the ground chicken with salt and pepper. Tear the cabbage into appropriate size pieces, and thinly slice the carrots with a peeler. ', '(2) Put the cabbage and carrots from A and (1) in a pot, and add the ground chicken from (1) while rolling it with a spoon. ', '(3) Cover with a lid, turn on the heat, and simmer until the ingredients are cooked. ', '*You can also add corn to make it even more delicious. ']	385.30	158.20
111	Cheese Dakgalbi	Other seasoning: 66, Sugar: 9, Edible oil: 18, Onion: 100, Soy sauce: 36, Cabbage: 300, Carrot: 90, Cheese: 100, Chicken: 300	['(1) Cut the chicken into bite-sized pieces. Cut the cabbage into chunks and the onion into wedges. Cut carrots into strips. ', '(2) Add the chicken from (1) and A to a bowl, mix, and marinate for about 10 minutes. ', '(3) Heat a hot plate to 160-170℃, add sesame oil, add the cabbage, onions, and carrots from (1) and stir-fry quickly. When the vegetables are soft, add the chicken from (1) and stir-fry. When the meat is browned, cover and steam-fry. ', '(4) When the meat is cooked, put the ingredients together, leave a space in the center, add the cheese, reduce the heat to low, and cook until the cheese melts. ']	551.25	329.39
112	Simple Chicken Broth Steamed Pot with Chinese Cabbage	Other alcohol: 30, Dried soup: 15, Mushroom: 100, Chinese cabbage: 250, Chicken: 300	['(1) Cut the chicken into pieces about 1cm thick. Cut the Chinese cabbage into 5cm wide pieces, and separate the shimeji mushrooms into small bunches. ', '(2) Arrange the Chinese cabbage from (1) in a frying pan with the cut side facing up, sandwich the chicken from (1) between the leaves, and add the shimeji mushrooms from (1) into the gap. ', '(3) Sprinkle the whole chicken soup evenly, add the sake, turn on the heat, cover and heat for about 10 to 15 minutes. ', '*Please enjoy with your favorite combination of chopped ginger, sesame oil, and coarsely ground black pepper. ']	877.02	323.90
113	Quick Almost Fried Chicken	Other seasoning: 13, Other dried food/seaweed: 3, Chicken: 250	['(1) Cut the chicken into bite-sized pieces, place in a plastic bag, add potato starch and ``flavor paste'' and mix well. ', '(2) Remove (1) from the bag and spread it on a heat-resistant plate, and heat it in the microwave (600W) for 3 minutes and 20 seconds without covering it with plastic wrap. ', '*If the chicken is not cooked through, heat it for an additional 30 seconds. ']	515.86	242.76
114	Shiny Radish and Tender Chicken Stew	Water: 215, Other leafy vegetables: 50, Sugar: 15, Other alcohol: 100, Soy sauce: 54, Flavor seasoning: 2, Other dried food/seaweed: 3, White Radish: 600, Chicken: 250	['(1) Cut the radish into 2cm wide pieces, and cut the radish leaves into 5mm wide pieces. Cut the chicken into bite-sized pieces. ', '(2) Put A into a pot, heat, bring to a boil, then add the radish and chicken from (1). When it comes to a boil, remove the scum and simmer for about 20 minutes until the radish is soft. ', '(3) Add the daikon leaves from (1), reduce the heat to medium-low, and simmer for 5 to 10 minutes. Add the water-soluble potato starch from B to thicken the mixture. ', '*The carbohydrate content of this recipe is 7.6g per serving. ', '*Among the carbohydrate amounts listed above, the carbohydrates in "Pal Sweet Calorie Zero" (liquid type) are calculated based on low-carb carbohydrates. ', '*You can also make it by replacing "Pal Sweet Calorie Zero" (liquid type) with "Pal Sweet" (liquid type). ']	406.27	187.65
115	Tender Fried Chicken Breast	Other seasoning: 5, Edible oil: 0, Other citrus fruits: 30, Other root vegetables: 7, Soy sauce: 12, Other dried food/seaweed: 18, Wheat flour: 18, Chicken: 300	['(1) Cut the chicken into 3cm cubes, place in a bowl, sprinkle evenly with ``Meat Softening Mix'', and let stand for at least 5 minutes (outside of the designated time). Add A to season. ', '(2) Pour oil into a frying pan or frying pan to a height of about 3cm and heat it to 160℃. Sprinkle B onto the chicken from (1) and quickly add it. Cook over medium heat for 3 to 4 minutes, turning it upside down. Fry. ', '(3) Fry over high heat for about 1 minute until the outside is crispy, then drain the oil. ', '(4) Place in a bowl and add lemon. ']	746.47	275.36
116	Tender Chicken Breast Steak with Moon-viewing Teriyaki Sauce	Water: 45, Other seasoning: 5, Sugar: 72, Edible oil: 24, Soy sauce: 54, Other dried food/seaweed: 9, Egg: 240, Chicken: 500	['(1) Poke several holes in the skin of the chicken with a fork. Sprinkle "Meat Softening Mix" evenly on both sides and leave for at least 5 minutes. ', '(2) Put A into a pot, heat it up, bring to a boil, then add B's water-soluble potato starch to thicken it. ', ' (3) Heat 1 tablespoon of oil in a frying pan, add the chicken from (1), skin side down, and fry over medium-low heat for about 5 minutes until browned. Flip and bake for about 10 minutes, then remove. ', '(4) Heat 1 tablespoon of oil in the same frying pan, crack the eggs, and make fried eggs. ', '(5) Cut the chicken from (3) into bite-sized pieces, place in a bowl, pour over (2), top with the fried egg from (4), and sprinkle with sesame seeds. ', '*Please enjoy with vegetables if you like. ']	590.74	381.42
117	Tender Chicken Breast Steak	Other seasoning: 5, Edible oil: 12, Chicken: 500	['(1) Poke several holes in the skin of the chicken with a fork. Sprinkle "Meat Softening Mix" evenly on both sides and let it sit for at least 5 minutes (outside of that time). ', '(2) Heat oil in a frying pan, add the chicken from (1) skin side down, and fry for about 5 minutes over medium-low heat until browned. Flip and bake for about 10 minutes. ', '(3) Cut the chicken from (2) into bite-sized pieces and place in a bowl. ', '*Please enjoy with vegetables if you like. ']	490.90	192.83
118	Eggplant and Chicken with Green Onion Sauce	Edible oil: 33, Other citrus fruits: 15, Onion: 40, Flavor seasoning: 9, Green onion: 40, Other dried food/seaweed: 18, Eggplant: 160, Chicken: 220	['(1) Cut the chicken into bite-sized pieces. Cut the eggplant into 1cm wide slices. ', '(2) Heat oil in a frying pan and stir-fry the chicken from (1). When the meat changes color, add the eggplant from (1) and stir-fry further. ', '(3) Put A in a bowl, mix well to make green onion sauce, add (2) and mix well. ']	733.82	445.02
119	Chicken Tenderloin and Cabbage in Light Broth	Water: 120, Other seasoning: 12, Sugar: 3, Edible oil: 8, Other alcohol: 5, Soy sauce: 18, Flavor seasoning: 1.5, Cabbage: 100, Other dried food/seaweed: 0, White Radish: 100, Mushroom: 50, Chicken: 80	['(1) Remove the strings from the fillet and cut into 1cm-wide pieces. Rub in the sake and sprinkle potato starch on both sides. Cut the cabbage into easy-to-eat pieces, and divide the shimeji mushrooms into florets. ', '(2) Heat oil in a frying pan, add fillets from (1) and fry. When slightly browned, add the cabbage and shimeji mushrooms from A. (1) and bring to a boil. Add grated daikon radish and bring to a boil. ']	288.52	130.21
